srg,mcp
func_402_h,getMountedYOffset
func_4020_a,getDamageVsEntity
func_4021_a,hitEntity
func_4022_a,setIconIndex
func_4023_b,shouldRotateAroundWhenRendering
func_4024_a,setStepSound
func_4025_d,tickRate
func_4026_a,onBlockPlacedBy
func_4027_c,onBlockDestroyedByExplosion
func_403_b,isOffsetPositionInLiquid
func_4031_h,refreshTrackShape
func_4032_a_,tryToCreatePortal
func_4033_c,playRandomMusicIfReady
func_4034_G,kill
func_4035_j_,getCollisionBorderSize
func_4037_H,getLookVec
func_4038_J,setOnFireFromLava
func_4039_q,setInPortal
func_404_c,getFXLayer
func_4041_a,applyColourMultiplier
func_4042_a,calculateVelocity
func_4043_i,catchFish
func_4044_a,damageEntity
func_4045_l,getHeldItem
func_4049_h,becomeAngryAt
func_405_d,multipleParticleScaleBy
func_4050_a,isCourseTraversable
func_4052_a,displayGUIEditSign
func_4056_N,sendMotionUpdates
func_4057_a,initializeNoiseField
func_4058_b,replaceBlocksForBiome
func_4059_a,generateNetherTerrain
func_406_a,renderParticle
func_4060_a,generateTerrain
func_4061_a,initializeNoiseField
func_4062_a,replaceBlocksForBiome
func_4063_a,renderPumpkinBlur
func_4064_a,renderVignette
func_4065_b,renderPortalOverlay
func_4066_a,renderGameOverlay
func_4067_a,parseIntWithDefault
func_4068_a,drawLogo
func_4069_a,func_4069_a
func_407_b,multiplyVelocity
func_4070_a,loadBlockGeneratorData
func_4071_a,getTemperatures
func_4072_b,getTemperature
func_4073_a,getBiomeGenAt
func_4074_a,getBiomeGenAtChunkCoord
func_4075_a,getWorldChunkManager
func_4076_b,setSpawnLocation
func_4078_a,neighborLightPropagationChanged
func_4079_a,getSkyColor
func_408_a,setArrowHeading
func_4080_j,tickBlocksAndAmbiance
func_4081_a,createChunkProvider
func_4082_d,getFogColor
func_4083_e,getTopSolidOrLiquidBlock
func_4084_a,updateEntityWithOptionalForce
func_4085_a,func_4085_a
func_4086_d,getLightValue
func_4087_b,createPlayer
func_409_i,explode
func_4092_a,getChunkLoader
func_4093_b,generateLightBrightnessTable
func_4094_c,createChunkGenerator
func_4095_a,registerWorld
func_4096_a,getFogColor
func_4097_b,calcSunriseSunsetColors
func_4098_a,registerWorldChunkManager
func_410_i,onValidSurface
func_4100_a,calculateCelestialAngle
func_4101_a,getProviderForDimension
func_4102_a,canCoordinateBeSpawn
func_4103_a,onPickupFromSlot
func_4104_e,getSlotStackLimit
func_4105_a,isItemValid
func_4106_b,placeInExistingPortal
func_4107_a,placeInPortal
func_4108_c,createPortal
func_4109_a,generateNoiseOctaves
func_411_c,func_411_c
func_4110_a,func_4110_a
func_4111_a,func_4111_a
func_4112_a,func_4112_a
func_4113_a,handleChat
func_4114_b,unexpectedPacket
func_4115_a,handleLogin
func_4117_a,getEntityClassRenderObject
func_4118_a,getEntitiesForType
func_4119_a,getSpawningChance
func_412_b,func_412_b
func_4120_a,generateBiomeLookup
func_4121_a,getBiomeFromLookup
func_4122_b,setEnableSnow
func_4123_b,setColor
func_4124_a,func_4124_a
func_4125_a,setBiomeName
func_4126_a,getSkyColorByTemp
func_4127_a,func_4127_a
func_4128_a,generateCaveNode
func_4129_a,generateLargeCaveNode
func_4130_f,setBurning
func_4131_values,func_4131_values
func_4132_a,renderItem
func_4133_a,renderItemInFirstPerson
func_4134_c,renderWorld
func_4135_b,renderHand
func_4136_b,updateCameraAndRender
func_4137_h,updateFogColor
func_4138_g,orientCamera
func_4139_a,setupCameraTransform
func_4140_a,setupFog
func_4141_b,renderClouds
func_4142_a,renderSky
func_4143_d,func_4143_d
func_4144_a,getSpecialRendererForClass
func_4145_values,func_4145_values
func_4146_a,getFoliageColor
func_4147_a,getGrassColor
func_4148_a,saveScreenshot
func_4149_a,clearBoundingBoxPool
func_415_z,spawnExplosionParticle
func_4150_a,isVecInside
func_4151_values,func_4151_values
func_4152_a,renderStandardBlockWithColorMultiplier
func_4153_a,getRandomSpawningPointInChunk
func_4154_a,performSpawning
func_4155_a,wrap
func_4156_a,func_4156_a
func_4157_a,func_4157_a
func_416_a,rayTrace
func_417_b,updateRotation
func_418_b_,updateEntityActionState
func_419_b,onDeath
func_420_c,canEntityBeSeen
func_421_b,getTalkInterval
func_422_g,getDropItemId
func_424_C,jump
func_425_j,onLivingUpdate
func_426_b,faceEntity
func_427_e,getPosition
func_429_A,isOnLadder
func_430_f,getLook
func_431_d,getSwingProgress
func_432_b,heal
func_433_a,getCanSpawnHere
func_434_a,knockBack
func_435_b,moveEntityWithHeading
func_437_a,attackEntity
func_438_i,findPlayerToAttack
func_439_a,getBlockPathWeight
func_440_b,getCreeperFlashIntensity
func_441_c,setSlimeSize
func_443_a_,onItemPickup
func_444_a,dropPlayerItemWithRandomChoice
func_445_l,displayGUIWorkbench
func_446_a,joinEntityItemWithWorld
func_448_u,destroyCurrentEquippedItem
func_449_a,dropPlayerItem
func_450_a,getCurrentPlayerStrVsBlock
func_451_h,collideWithPlayer
func_452_a,displayGUIChest
func_453_a,displayGUIFurnace
func_454_b,canHarvestBlock
func_457_w,swingItem
func_458_k,resetPlayerKeyState
func_460_a,handleKeyPress
func_461_a,sendChatMessage
func_463_a,attackTargetEntityWithCurrentItem
func_465_i,getWorld
func_466_g,func_466_g
func_467_a,setSnowballHeading
func_468_c,getStackInSlot
func_469_c,getSizeInventory
func_470_e,getInventoryStackLimit
func_471_d,getInvName
func_472_a,setInventorySlotContents
func_473_a,decrStackSize
func_474_j_,onInventoryChanged
func_475_b,updateEntity
func_476_a,addMapping
func_477_c,createAndLoadEntity
func_478_g,getBlockType
func_479_f,getBlockMetadata
func_480_a,getDistanceFrom
func_481_b,writeToNBT
func_482_a,readFromNBT
func_483_c,updateDelay
func_484_a,anyPlayerInRange
func_485_a,isBurning
func_486_d,getSmeltingResultItem
func_487_i,smeltItem
func_488_a,getItemBurnTime
func_489_b,getBurnTimeRemainingScaled
func_490_a,getCookProgressScaled
func_491_j,canSmelt
func_492_d,armorItemInSlot
func_493_a,writeToNBT
func_494_a,getCurrentItem
func_495_b,addItemsToInventory
func_496_a,setCurrentItem
func_497_g,getFirstPartialMatchingStack
func_498_a,changeCurrentItem
func_499_j,getFirstEmptyStack
func_500_a,compareInventory
func_501_a,compareItemStack
func_502_a,getDamageVsEntity
func_503_g,dropAllItems
func_504_a,addItemStackToInventory
func_505_f,getInventorySlotContainItem
func_506_f,getTotalArmorValue
func_507_e,damageArmor
func_508_a,getStrVsBlock
func_509_b,canHarvestBlock
func_510_b,consumeInventoryItem
func_511_b,decrementAnimations
func_512_i,copyInventory
func_513_b,readFromNBT
func_514_g,func_514_g
func_515_a,func_515_a
func_516_a,generate
func_517_a,setScale
func_518_b,generateLeaves
func_519_e,validTreeLocation
func_520_a,generateLeafNode
func_521_a,generateLeafNodeList
func_522_a,placeBlockLine
func_523_a,genTreeLayer
func_524_a,checkBlockLine
func_525_d,generateLeafNodeBases
func_526_b,leafSize
func_527_c,leafNodeNeedsBase
func_528_a,layerSize
